id,meal_type,name,category,title,price,image
135,dessert,"Mint Chocolate Chip","Ice Cream","Cool mint with chocolate bits",4.58,...
136,dessert,"Cones ice","Ice Cream","Cones ice with three different falvoures",9.10,...
137,dessert,"Chocolate Brownie",Brownie,"Classic rich and fudgy treat",7.20,...
138,dessert,"Walnut Brownie",Brownie,"Loaded with crunchy walnuts",6.18,...
139,dessert,"Blondie brownie",Brownie,"Vanilla-based brownie without cocoa",7.56,...
140,dessert,"Caramel Brownie",Brownie,"Drizzled with sweet caramel sauce",4.95,...
141,dessert,"Fruit Brownie",Brownie,"Topped with dried fruits and berries",2.98,...
142,dessert,"Espresso Brownie",Brownie,"Infused with a strong coffee kick",3.48,...
143,dessert,"Plain brownie",Brownie,"classic plain brownie with large piece",6.10,...
144,dessert,"Dark Chocolate Brownie",Brownie,"Intense dark chocolate flavor",9.18,...
145,dessert,"cup brownie",Brownie,"cupcake brownie with choconutes",7.25,...
146,dessert,"Tover Doughnut",Doughnut,"six different types of doughnut",9.07,...
147,dessert,"Chocolate Doughnut",Doughnut,"Coated with rich chocolate icing",8.19,...
148,dessert,"Vegan Doughnut",Doughnut,"Dairy-free and plant-based treat",4.19,...
149,dessert,"Maple Doughnut",Doughnut,"Coated with maple-flavored glaze",9.17,...
150,dessert,"Cinnamon Doughnut",Doughnut,"Dusted with cinnamon sugar",8.61,...
151,dessert,"Boston Cream Doughnut",Doughnut,"Filled with custard and chocolate glaze",5.73,...
152,dessert,"Sprinkled Doughnut",Doughnut,"Topped with colorful sprinkles",4.82,...
153,dessert,"Sugar Doughnut",Doughnut,"Rolled in granulated sugar",1.58,...
154,dessert,"Dark Chocolate",Chocolate,"Rich and slightly bitter",7.19,...
155,dessert,"White Chocolate",Chocolate,"Smooth with a vanilla flavor",9.17,...
156,dessert,"Coffee Chocolate",Chocolate,"Infused with bold coffee flavors",8.25,...
157,dessert,"Spicy Chocolate",Chocolate,"Flavored with a hint of chili",2.48,...
158,dessert,"Fruit & Nut Chocolate",Chocolate,"Loaded with dried fruits and nuts",6.18,...
159,dessert,"Hazelnut Chocolate",Chocolate,"Mixed with  four different crunchy hazelnuts",4.29,...
160,dessert,"Mint Chocolate",Chocolate,"Infused with refreshing mint",5.19,...
161,dessert,"Caramel Chocolate",Chocolate,"Filled with sweet caramel",3.58,...
162,beverage,"Green Tea",Tea,"Light and packed with antioxidants",4.16,...
163,beverage,"Black Tea",Tea,"Strong and bold without milk",8.16,...
164,beverage,"Lemon Tea",Tea,"Tangy and refreshing with lemon",4.89,...
165,beverage,"Herbal Tea",Tea,"Caffeine-free with natural herbs",1.59,...
166,beverage,"Mint Tea",Tea,"Cool and soothing with mint flavor",7.21,...
167,beverage,"Cardamom Tea",Tea,"Fragrant with a hint of cardamom",8.24,...
168,beverage,"Oolong Tea",Tea,"Semi-fermented with a unique flavor",8.20,...
169,beverage,"Mint Tea",Tea,"Cool and soothing with mint flavor",5.26,...
170,beverage,"Orange Juice",Juice,"Fresh and tangy citrus flavor",8.19,...
171,beverage,"Pineapple Juice",Juice,"Sweet with a hint of tartness",6.18,...
172,beverage,"Mixed Fruit Juice",Juice,"Blend of multiple fruits",9.24,...
173,beverage,"Varity juice",Juice,"three different combo juice",9.73,...
174,beverage,"Lemon ment juice",Juice,"Thick and tropical with a unique flavor",4.28,...
175,beverage,"Lemon Juice",Juice,"Tangy and zesty lemon Juice",6.19,...
176,beverage,"Mango with orange Juice",Juice,"Thick and tropical delight",4.16,...
177,beverage,"Blueberry juice",Juice,"Rich and packed with antioxidants",6.18,...
178,beverage,Espresso,Coffee,"Strong and concentrated shot",5.10,...
179,beverage,Cappuccino,Coffee,"Espresso with steamed milk and foam",7.16,...
180,beverage,"Black Coffee",Coffee,"Plain brewed coffee without milk",9.16,...
181,beverage,"Iced Coffee",Coffee,"Coffee served over ice",6.18,...
182,beverage,"Filter Coffee",Coffee,"Traditional South Indian coffee",3.18,...
183,beverage,Macchiato,Coffee,"Espresso with a dollop of foam",8.06,...
184,beverage,Americano,Coffee,"Espresso diluted with hot water",1.95,...
185,beverage,Affogato,Coffee,"Similar to a latte but less frothy",6.14,...
186,beverage,"Plain lassi",Lassi,"nice beated curd with straw",1.56,...
187,beverage,"Mango Lassi",Lassi,"Blended with fresh mango pulp",2.09,...
188,beverage,"Sweet Lassi",Lassi,"Classic with sugar and cardamom",2.95,...
189,beverage,"Strawberry Lassi",Lassi,"Mixed with juicy strawberries",4.95,...
190,beverage,"Salted Lassi",Lassi,"Savory with salt and spices",8.19,...
191,beverage,"Rose Lassi",Lassi,"Flavored with rose syrup",5.20,...
192,beverage,"Pineapple Lassi",Lassi,"Tropical with pineapple flavor",4.29,...
193,beverage,"Shrikhand lassi",Lassi,"Refreshing with fresh mint leaves",5.15,...
194,beverage,"Lemon Soda",Soda,"Tangy and refreshing with lemon",4.15,...
195,beverage,"Salted Soda",Soda,"Savory with salt and spices",6.18,...
196,beverage,"Blue Lagoon Soda",Soda,"Vibrant with blue citrus syrup",2.85,...
197,beverage,"Green apple",Soda,"green apple soda with pure cane suger",1.89,...
198,beverage,"Blueberry soda",Soda,"Always made with pure cane suger",5.92,...
199,beverage,"Plain soda",Soda,"soda from hoffman family",5.16,...
200,beverage,"Inoar soda",Soda,"macadamia oil premium",7.18,...
201,beverage,"Smirnoff soda",Soda,"pure primium classic soda",5.10,...
